2024-02-25 00:17:35 |INFO  |main |StartupInfoLogger.java:55 |ljl.search.SearchApplication |Starting SearchApplication using Java 1.8.0_65 on DESKTOP-4C1V07J with PID 13752 (E:\bilibili\search\target\classes started by Administrator in E:\bilibili)
2024-02-25 00:17:35 |INFO  |main |SpringApplication.java:645 |ljl.search.SearchApplication |No active profile set, falling back to 1 default profile: "default"
2024-02-25 00:17:38 |INFO  |main |RepositoryConfigurationDelegate.java:262 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode
2024-02-25 00:17:38 |INFO  |main |RepositoryConfigurationDelegate.java:132 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2024-02-25 00:17:38 |INFO  |main |RepositoryConfigurationDelegate.java:201 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 34 ms. Found 0 Elasticsearch repository interfaces.
2024-02-25 00:17:38 |INFO  |main |RepositoryConfigurationDelegate.java:262 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode
2024-02-25 00:17:38 |INFO  |main |RepositoryConfigurationDelegate.java:132 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2024-02-25 00:17:38 |INFO  |main |RepositoryConfigurationDelegate.java:201 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 10 ms. Found 0 Reactive Elasticsearch repository interfaces.
2024-02-25 00:17:38 |INFO  |main |RepositoryConfigurationDelegate.java:262 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode
2024-02-25 00:17:38 |INFO  |main |RepositoryConfigurationDelegate.java:132 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-02-25 00:17:38 |INFO  |main |RepositoryConfigurationDelegate.java:201 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2024-02-25 00:17:38 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=60c0c3a1-af2a-349b-afc3-a3cc5aaf8967
2024-02-25 00:17:39 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8201 (http)
2024-02-25 00:17:39 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8201"]
2024-02-25 00:17:39 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-02-25 00:17:39 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.65]
2024-02-25 00:17:39 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-02-25 00:17:39 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 3522 ms
2024-02-25 00:17:40 |INFO  |main |ElasticsearchClientConfig.java:76 |ljl.search.config.ElasticsearchClientConfig |Connecting Elasticsearch...
2024-02-25 00:17:41 |INFO  |main |ElasticsearchClientConfig.java:91 |ljl.search.config.ElasticsearchClientConfig |Elasticsearch Connected!
2024-02-25 00:17:41 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join properties config complete
2024-02-25 00:17:41 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join SqlInjector init
2024-02-25 00:17:44 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-02-25 00:17:44 |INFO  |main |XxlJobConfig.java:46 |ljl.search.config.XxlJobConfig |>>>>>>>>>>> xxl-job config init.
2024-02-25 00:17:46 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of 455f664a-64c8-4e50-815d-12651e968451
2024-02-25 00:17:46 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 88 ms to scan 1 urls, producing 3 keys and 6 values 
2024-02-25 00:17:46 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 32 ms to scan 1 urls, producing 4 keys and 9 values 
2024-02-25 00:17:46 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 14 ms to scan 1 urls, producing 3 keys and 10 values 
2024-02-25 00:17:46 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 194 ms to scan 242 urls, producing 0 keys and 0 values 
2024-02-25 00:17:46 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 15 ms to scan 1 urls, producing 1 keys and 5 values 
2024-02-25 00:17:46 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 12 ms to scan 1 urls, producing 1 keys and 7 values 
2024-02-25 00:17:46 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 11 ms to scan 1 urls, producing 2 keys and 8 values 
2024-02-25 00:17:47 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 162 ms to scan 242 urls, producing 0 keys and 0 values 
2024-02-25 00:17:47 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[455f664a-64c8-4e50-815d-12651e968451] RpcClient init label, labels = {module=naming, source=sdk}
2024-02-25 00:17:47 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[455f664a-64c8-4e50-815d-12651e968451] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-02-25 00:17:47 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[455f664a-64c8-4e50-815d-12651e968451] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-02-25 00:17:47 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[455f664a-64c8-4e50-815d-12651e968451] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2024-02-25 00:17:47 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[455f664a-64c8-4e50-815d-12651e968451] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
2024-02-25 00:17:50 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[455f664a-64c8-4e50-815d-12651e968451] Success to connect to server [116.62.71.84:8848] on start up, connectionId = 1708791469270_120.227.129.112_46409
2024-02-25 00:17:50 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[455f664a-64c8-4e50-815d-12651e968451] Notify connected event to listeners.
